2026-03-11 16:30:56 | INFO     | physics_engine | ML models loaded from storage
2026-03-11 16:30:56 | INFO     | physics_engine | AdvancedFloodML v3.0.0 initialized
2026-03-11 16:30:56 | INFO     | EQUINOX | ML Engine initialized — 0 model(s) loaded.
2026-03-11 16:30:56 | INFO     | EQUINOX | Starting EQUINOX Flood Prediction System...
2026-03-11 16:30:56 | INFO     | EQUINOX | ML Engine: 0 model(s) active
2026-03-11 16:30:56 | INFO     | EQUINOX | API running at: http://localhost:5000
2026-03-11 16:30:56 | INFO     | EQUINOX |   GET  /              → Root info
2026-03-11 16:30:56 | INFO     | EQUINOX |   GET  /api/health    → Health check
2026-03-11 16:30:56 | INFO     | EQUINOX |   GET  /api/villages  → All villages
2026-03-11 16:30:56 | INFO     | EQUINOX |   GET  /api/predict   → Live ML prediction (lat/lng)
2026-03-11 16:30:56 | INFO     | EQUINOX |   POST /api/predict   → Direct feature prediction
2026-03-11 16:30:56 | INFO     | EQUINOX |   POST /api/predict/batch → Batch predictions
2026-03-11 16:30:56 | INFO     | EQUINOX |   POST /api/alerts    → Create alert
2026-03-11 16:30:56 | INFO     | EQUINOX |   GET  /api/active_alerts → Live active alerts
2026-03-11 16:30:56 | INFO     | EQUINOX |   POST /api/reports   → Submit field report
2026-03-11 16:30:56 | INFO     | EQUINOX |   POST /api/reports/submit → Civilian incident report
2026-03-11 16:30:56 | INFO     | EQUINOX |   GET  /api/sensors   → Live sensor readings
2026-03-11 16:30:56 | INFO     | EQUINOX |   GET  /api/telemetry → System log stream
2026-03-11 16:30:56 | INFO     | EQUINOX |   GET  /api/terrain   → ISRO DEM terrain metrics
2026-03-11 16:30:56 | INFO     | EQUINOX |   GET  /api/sar       → Sentinel-1 SAR inundation
2026-03-11 16:30:56 | INFO     | EQUINOX |   GET  /api/grid-data → Map overlay grid
2026-03-11 16:30:56 | INFO     | EQUINOX |   GET  /api/scenarios/live   → Live scenario data
2026-03-11 16:30:56 | INFO     | EQUINOX |   GET  /api/scenarios/punjab → Punjab historical data
2026-03-11 16:30:56 | INFO     | EQUINOX |   GET  /api/system/status    → System metrics
2026-03-11 16:30:56 | INFO     | EQUINOX |   GET  /api/rainfall/<district> → District rainfall
2026-03-11 16:30:56 | INFO     | werkzeug | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://172.19.75.116:5000
2026-03-11 16:30:56 | INFO     | werkzeug | [33mPress CTRL+C to quit[0m
2026-03-11 16:33:26 | INFO     | real_data_integration | Fetching all data for (26.9124, 75.7873)
2026-03-11 16:33:26 | INFO     | EQUINOX | [/api/predict GET] lat=26.9124, lng=75.7873
2026-03-11 16:33:26 | INFO     | werkzeug | 127.0.0.1 - - [11/Mar/2026 16:33:26] "GET /api/terrain?lat=26.912400&lng=75.787300 HTTP/1.1" 200 -
2026-03-11 16:33:26 | INFO     | werkzeug | 127.0.0.1 - - [11/Mar/2026 16:33:26] "GET /api/terrain?lat=26.912400&lng=75.787300 HTTP/1.1" 200 -
2026-03-11 16:33:26 | INFO     | real_data_integration | OpenWeather data fetched: 25.46°C
2026-03-11 16:33:27 | INFO     | real_data_integration | ISRO LULC data fetched: Forest/Vegetation
2026-03-11 16:33:28 | INFO     | real_data_integration | NASA_POWER data fetched: 1.0mm
2026-03-11 16:33:28 | INFO     | real_data_integration | NASA_POWER data fetched: 1.0mm
2026-03-11 16:33:28 | INFO     | real_data_integration | All data fetched successfully
2026-03-11 16:33:28 | INFO     | werkzeug | 127.0.0.1 - - [11/Mar/2026 16:33:28] "GET /api/active_alerts HTTP/1.1" 200 -
2026-03-11 16:33:28 | INFO     | real_data_integration | Fetching all data for (26.9124, 75.7873)
2026-03-11 16:33:28 | INFO     | real_data_integration | OpenWeather data fetched: 25.46°C
2026-03-11 16:33:28 | INFO     | real_data_integration | ISRO LULC data fetched: Forest/Vegetation
2026-03-11 16:33:29 | INFO     | real_data_integration | NASA_POWER data fetched: 1.0mm
2026-03-11 16:33:29 | INFO     | real_data_integration | NASA_POWER data fetched: 1.0mm
2026-03-11 16:33:29 | INFO     | real_data_integration | All data fetched successfully
2026-03-11 16:33:29 | INFO     | werkzeug | 127.0.0.1 - - [11/Mar/2026 16:33:29] "GET /api/active_alerts HTTP/1.1" 200 -
2026-03-11 16:33:29 | INFO     | real_data_integration | Fetching all data for (26.9124, 75.7873)
2026-03-11 16:33:30 | INFO     | real_data_integration | OpenWeather data fetched: 25.46°C
2026-03-11 16:33:30 | INFO     | real_data_integration | ISRO LULC data fetched: Forest/Vegetation
2026-03-11 16:33:30 | INFO     | real_data_integration | NASA_POWER data fetched: 1.0mm
2026-03-11 16:33:30 | INFO     | real_data_integration | NASA_POWER data fetched: 1.0mm
2026-03-11 16:33:30 | INFO     | real_data_integration | All data fetched successfully
2026-03-11 16:33:30 | INFO     | werkzeug | 127.0.0.1 - - [11/Mar/2026 16:33:30] "GET /api/active_alerts HTTP/1.1" 200 -
2026-03-11 16:33:30 | INFO     | real_data_integration | Fetching all data for (26.9124, 75.7873)
2026-03-11 16:33:31 | INFO     | real_data_integration | OpenWeather data fetched: 25.46°C
2026-03-11 16:33:31 | INFO     | real_data_integration | ISRO LULC data fetched: Forest/Vegetation
2026-03-11 16:33:32 | INFO     | real_data_integration | NASA_POWER data fetched: 1.0mm
2026-03-11 16:33:32 | INFO     | real_data_integration | NASA_POWER data fetched: 1.0mm
2026-03-11 16:33:32 | INFO     | real_data_integration | All data fetched successfully
2026-03-11 16:33:32 | INFO     | werkzeug | 127.0.0.1 - - [11/Mar/2026 16:33:32] "GET /api/active_alerts HTTP/1.1" 200 -
2026-03-11 16:33:34 | INFO     | werkzeug | 127.0.0.1 - - [11/Mar/2026 16:33:34] "GET /api/predict?lat=26.9124&lng=75.7873 HTTP/1.1" 200 -
2026-03-11 16:33:34 | INFO     | EQUINOX | [/api/predict GET] lat=26.9124, lng=75.7873
2026-03-11 16:33:35 | INFO     | werkzeug | 127.0.0.1 - - [11/Mar/2026 16:33:35] "GET /api/sar?lat=26.9124&lng=75.7873&radius_km=5 HTTP/1.1" 200 -
2026-03-11 16:33:39 | INFO     | werkzeug | 127.0.0.1 - - [11/Mar/2026 16:33:39] "GET /api/predict?lat=26.9124&lng=75.7873 HTTP/1.1" 200 -
2026-03-11 16:33:42 | INFO     | werkzeug | 127.0.0.1 - - [11/Mar/2026 16:33:42] "GET /api/sar?lat=26.9124&lng=75.7873&radius_km=5 HTTP/1.1" 200 -
2026-03-11 16:33:57 | INFO     | real_data_integration | Fetching all data for (26.9124, 75.7873)
2026-03-11 16:33:57 | INFO     | real_data_integration | OpenWeather data fetched: 25.46°C
2026-03-11 16:33:57 | INFO     | real_data_integration | ISRO LULC data fetched: Forest/Vegetation
2026-03-11 16:33:58 | INFO     | real_data_integration | NASA_POWER data fetched: 1.0mm
2026-03-11 16:33:58 | INFO     | real_data_integration | NASA_POWER data fetched: 1.0mm
2026-03-11 16:33:58 | INFO     | real_data_integration | All data fetched successfully
2026-03-11 16:33:58 | INFO     | werkzeug | 127.0.0.1 - - [11/Mar/2026 16:33:58] "GET /api/active_alerts HTTP/1.1" 200 -
2026-03-11 16:33:58 | INFO     | real_data_integration | Fetching all data for (26.9124, 75.7873)
2026-03-11 16:33:59 | INFO     | real_data_integration | OpenWeather data fetched: 25.46°C
2026-03-11 16:33:59 | INFO     | real_data_integration | ISRO LULC data fetched: Forest/Vegetation
2026-03-11 16:33:59 | INFO     | real_data_integration | NASA_POWER data fetched: 1.0mm
2026-03-11 16:34:00 | INFO     | real_data_integration | NASA_POWER data fetched: 1.0mm
2026-03-11 16:34:00 | INFO     | real_data_integration | All data fetched successfully
2026-03-11 16:34:00 | INFO     | werkzeug | 127.0.0.1 - - [11/Mar/2026 16:34:00] "GET /api/active_alerts HTTP/1.1" 200 -
2026-03-11 16:34:27 | INFO     | real_data_integration | Fetching all data for (26.9124, 75.7873)
2026-03-11 16:34:27 | INFO     | real_data_integration | OpenWeather data fetched: 25.46°C
2026-03-11 16:34:27 | INFO     | real_data_integration | ISRO LULC data fetched: Forest/Vegetation
2026-03-11 16:34:29 | INFO     | real_data_integration | NASA_POWER data fetched: 1.0mm
2026-03-11 16:34:29 | INFO     | real_data_integration | NASA_POWER data fetched: 1.0mm
2026-03-11 16:34:29 | INFO     | real_data_integration | All data fetched successfully
2026-03-11 16:34:29 | INFO     | werkzeug | 127.0.0.1 - - [11/Mar/2026 16:34:29] "GET /api/active_alerts HTTP/1.1" 200 -
2026-03-11 16:34:29 | INFO     | real_data_integration | Fetching all data for (26.9124, 75.7873)
2026-03-11 16:34:29 | INFO     | real_data_integration | OpenWeather data fetched: 25.46°C
2026-03-11 16:34:29 | INFO     | real_data_integration | ISRO LULC data fetched: Forest/Vegetation
2026-03-11 16:34:29 | INFO     | real_data_integration | NASA_POWER data fetched: 1.0mm
2026-03-11 16:34:30 | INFO     | real_data_integration | NASA_POWER data fetched: 1.0mm
2026-03-11 16:34:30 | INFO     | real_data_integration | All data fetched successfully
2026-03-11 16:34:30 | INFO     | werkzeug | 127.0.0.1 - - [11/Mar/2026 16:34:30] "GET /api/active_alerts HTTP/1.1" 200 -
2026-03-11 16:34:48 | INFO     | EQUINOX | [/api/predict GET] lat=26.9154576, lng=75.8189817
2026-03-11 16:34:48 | INFO     | werkzeug | 127.0.0.1 - - [11/Mar/2026 16:34:48] "GET /api/terrain?lat=26.915458&lng=75.818982 HTTP/1.1" 200 -
2026-03-11 16:34:56 | INFO     | werkzeug | 127.0.0.1 - - [11/Mar/2026 16:34:56] "GET /api/predict?lat=26.9154576&lng=75.8189817 HTTP/1.1" 200 -
2026-03-11 16:34:56 | INFO     | werkzeug | 127.0.0.1 - - [11/Mar/2026 16:34:56] "GET /api/sar?lat=26.9154576&lng=75.8189817&radius_km=5 HTTP/1.1" 200 -
2026-03-11 16:34:56 | INFO     | real_data_integration | Fetching all data for (26.9124, 75.7873)
2026-03-11 16:34:56 | INFO     | real_data_integration | OpenWeather data fetched: 25.46°C
2026-03-11 16:34:57 | INFO     | real_data_integration | ISRO LULC data fetched: Forest/Vegetation
2026-03-11 16:34:57 | INFO     | real_data_integration | NASA_POWER data fetched: 1.0mm
2026-03-11 16:34:57 | INFO     | real_data_integration | NASA_POWER data fetched: 1.0mm
2026-03-11 16:34:57 | INFO     | real_data_integration | All data fetched successfully
2026-03-11 16:34:57 | INFO     | werkzeug | 127.0.0.1 - - [11/Mar/2026 16:34:57] "GET /api/active_alerts HTTP/1.1" 200 -
2026-03-11 16:34:57 | INFO     | real_data_integration | Fetching all data for (26.9124, 75.7873)
2026-03-11 16:34:58 | INFO     | real_data_integration | OpenWeather data fetched: 25.46°C
2026-03-11 16:34:58 | INFO     | real_data_integration | ISRO LULC data fetched: Forest/Vegetation
2026-03-11 16:34:59 | INFO     | real_data_integration | NASA_POWER data fetched: 1.0mm
2026-03-11 16:34:59 | INFO     | real_data_integration | NASA_POWER data fetched: 1.0mm
